time , step-size , {25941611-1350-4ca2-8fe8-85d9193c14fd}.tank3.Tank3OutFlow , {25941611-1350-4ca2-8fe8-85d9193c14fd}.tank3.level , {25941611-1350-4ca2-8fe8-85d9193c14fd}.tank3.puddle , {8c4e810f-3df3-4a00-8276-176fa3c9f003}.controller.wt3_valve , {dcd729ec-423a-4a0d-8030-4c42a840abba}.tank1and2.Tank1InFlow , {dcd729ec-423a-4a0d-8030-4c42a840abba}.tank1and2.Tank1WaterLevel , {dcd729ec-423a-4a0d-8030-4c42a840abba}.tank1and2.Tank2OutFlow , {dcd729ec-423a-4a0d-8030-4c42a840abba}.tank1and2.Tank2WaterLevel
0.0 , 0.0 , 0.0 , 0.0 , 0.022567583341910263 , false , 0.0 , 1.0E-6 , 0.0 , 0.0
0.01 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 0.0 , 8.633333333333333E-7 , 0.0 , 1.3666666666666665E-7
0.02 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 0.0 , 8.633333333333333E-7 , 0.0 , 1.3666666666666665E-7
0.03 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 0.0 , 7.62661111111111E-7 , 0.0 , 2.3733888888888884E-7
0.04 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 0.0 , 7.62661111111111E-7 , 0.0 , 2.3733888888888884E-7
0.05 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 0.0 , 6.886507314814814E-7 , 0.0 , 3.1134926851851846E-7
0.060000000000000005 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 0.0 , 6.343727740586419E-7 , 0.0 , 3.6562722594135797E-7
0.07 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 0.0 , 6.343727740586419E-7 , 0.0 , 3.6562722594135797E-7
0.08 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 0.0 , 6.343727740586419E-7 , 0.0 , 3.6562722594135797E-7
0.09 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 1.0 , 0.003333928017395826 , 0.0 , 4.053159375072273E-7
0.09999999999999999 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 1.0 , 0.003333928017395826 , 0.0 , 4.053159375072273E-7
0.10999999999999999 , 0.01 , 0.0 , 0.0 , 0.022567583341910263 , false , 1.0 , 0.02254501021333239 , 0.0 , 7.893231200009423E-4
